Marks,Percentile
36.5,58.62161659
36.3,58.32592378
36,57.87101176
35.8,57.57738673
35.5,57.29823618
35.3,57.00874671
35,56.72339281
34.8,56.18990508
34.5,55.86319555
34.3,55.58197721
34,55.23252207
33.8,54.89960918
33.5,54.38679928
33.3,54.06629308
33,53.72924463
32.8,53.42941626
32.5,53.06548665
32.3,52.51132110
32,52.23217055
31.8,51.94474886
31.5,51.58909038
31.3,51.26031306
31,50.69994416
30.8,50.33601455
30.5,49.99069498
30.3,49.65364653
30,49.27110688
29.8,48.59494220
29.5,48.25375819
29.3,47.91464196
29,47.54657678
28.8,47.22193503
28.5,46.58092264
28.3,46.23353528
28,45.86960567
27.8,45.47052376
27.5,45.13761088
27.3,44.47178511
27,44.07270321
26.8,43.71290916
26.5,43.36138624
26.3,42.93542317
26,42.22203841
25.8,41.82502429
25.5,41.50038253
25.3,41.05787721
25,40.70221872
24.8,39.86476706
24.5,39.50704079
24.3,39.10795889
24,38.71094476
23.8,38.29118504
23.5,37.44753003
23.3,37.07326151
23,36.67624738
22.8,36.22753871
22.5,35.77883004
22.3,34.92070056
22,34.55883873
21.8,34.13080788
21.5,33.65728582
21.3,33.17342486
21,32.24085523
20.8,31.81902772
20.5,31.40547135
20.3,30.98157606
20,30.53907073
19.8,29.52999317
19.5,29.10196232
19.3,28.67186369
19,28.22935836
18.8,27.74963296
18.5,26.71574202
18.3,26.30011786
18,25.90103595
17.8,25.47714067
17.5,24.98500858
17.3,23.92630425
17,23.51895122
16.8,23.11780153
16.5,22.65668617
16.3,22.27207874
16,21.25679783
15.8,20.86598705
15.5,20.47104071
15.3,20.00165422
15,19.50952213
14.8,18.38878435
14.5,18.00004135
14.3,17.55546824
14,17.10882736
13.8,16.68079650
13.5,15.58693988
13.3,15.17958685
13,14.80118277
12.8,14.37108413
12.5,13.96579888
12.3,12.98360248
12,12.62587622
11.8,12.25781104
11.5,11.85872914
11.3,11.45964723
11,10.55602655
10.8,10.24172370
10.5,09.89847190
10.3,09.56762680
10,09.22437501
9.75,08.34349992
9.5,08.05194268
9.25,07.77899547
9,07.47089596
8.75,07.15659312
8.5,06.39564938
8.25,06.19714232
8,05.95107628
7.75,05.71121358
7.5,05.46101197
7.25,04.84894853
7,04.62976365
6.75,04.41884989
6.5,04.21207171
6.25,04.00942908
6,03.46560244
5.75,03.27329873
5.5,03.12028287
5.25,02.97967370
5,02.83906453
4.75,02.43377928
4.5,02.26835673
4.25,02.10706974
4,01.97059614
3.75,01.86100370
3.5,01.57358201
3.25,01.47639626
3,01.41022724
2.75,01.33371931
2.5,01.26755029
2.25,00.98426417
2,00.91602737
1.75,00.86433283
1.5,00.81470606
1.25,00.76921486
1,00.62240234
0.75,00.56243667
0.5,00.51694547
0.25,00.46938648
0,00.44250532
-0.25,00.34325179
-0.5,00.30809950
-0.75,00.29362502
-1,00.26260830
-1.25,00.23365935
-1.5,00.17782924
-1.75,00.16128698
-2,00.15508364
-2.25,00.14267695
-2.5,00.13440582
-2.75,00.09925353
-3,00.09305018
-3.25,00.08891462
-3.5,00.08684683
-3.75,00.07237236
-4,00.05376232
-4.25,00.05169454
-4.5,00.04549120
-5,00.03928785
-5.5,00.03101672
-6,00.02688116
-6.25,00.02481338
-7.5,00.01240669
-10,00.00827112
-10.75,00.00620334
-11.75,00.00413556
-33.75,00.00206778
-118,00.00000000
